Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles,BMI,under-five deaths,Total expenditure,GDP,Population,Schooling
Algeria,75.4,11,21,0.01,54.2373183,0,58.4,24,7.21,547.8517,39113313,14.4
Algeria,75.3,112,21,0.53,544.4507432,25,57.2,24,7.12,5471.866766,38338562,14.4
Algeria,75.1,113,21,0.66,555.9260834,18,56.1,24,6.14,5564.82566,37565847,14.4
Algeria,74.9,116,21,0.56,509.0020405,112,55,24,5.29,5432.2523,36819558,14
Algeria,74.7,119,21,0.45,430.7175861,103,53.9,24,5.12,4463.394675,36117637,13.6
Algeria,74.4,123,20,0.5,,107,52.8,23,5.36,3868.83123,3546576,13.1
Algeria,74.1,126,20,0.46,43.08717334,217,51.8,23,4.2,495.254866,3486715,12.6
Algeria,73.8,129,20,0.44,320.3239241,0,5.8,23,3.82,3935.183343,34376,12.3
Algeria,73.4,132,20,0.36,270.2401962,944,49.8,23,3.36,3464.6179,33777915,12.3
Algeria,72.9,136,19,0.5,2.548922758,2302,48.9,22,3.24,31.122378,33288437,12
Algeria,72.3,14,19,0.45,220.393699,3289,47.9,23,3.54,2598.9823,3283196,11.7
Algeria,71.7,146,20,0.34,25.0185226,15374,47,23,3.6,294.33556,3243514,11.5
Algeria,71.6,145,20,0.36,148.5119843,5862,46.1,23,3.73,1774.33673,3199546,11.1
Algeria,71.4,145,20,0.23,147.9860714,2686,45.3,24,3.84,1732.857979,31592153,10.9
Algeria,71.3,145,21,0.25,154.4559436,0,44.4,25,3.49,1757.17797,3118366,10.7
Angola,52.4,335,66,,0,118,23.3,98,,3695.793748,2785935,11.4
Angola,51.7,348,67,8.33,23.965612,11699,22.7,101,3.31,479.31224,2692466,11.4
Angola,51.1,355,69,8.1,35.95857279,8523,22.1,105,4.26,484.616884,2599834,11.4
Angola,56,358,72,8.24,256.1225243,4458,21.5,110,3.3,4598.249988,259615,10.3
Angola,51,361,75,8.06,239.8913921,1449,21,115,3.38,4299.12889,24218565,9.4
Angola,49.6,365,78,7.8,191.6537407,1190,2.4,121,3.39,3529.53482,23369131,9
Angola,,369,81,7.01,212.9229325,2807,19.8,127,4.37,3347.84485,22549547,8.5
Angola,48.7,371,84,7.07,249.9101958,265,19.3,133,3.84,3868.578883,2175942,8.1
Angola,48.2,375,87,6.35,184.8213446,1014,18.8,138,3.38,2878.837144,2997687,7.7
Angola,47.7,381,90,5.84,25.08688824,765,18.2,143,4.54,262.415149,2262399,7.2
Angola,47.4,382,92,5.04,98.19145117,,17.7,148,4.1,1443.991929,19552542,6.8
Angola,47.1,386,94,3.53,8.8667775,29,17.2,152,4.71,141.86844,18865716,6.4
Angola,46.8,388,95,3.49,35.93349121,1196,16.8,155,4.41,779.468356,1823369,5.9
Angola,46.5,391,96,2.82,24.037942,11945,16.3,157,3.63,711.181716,17572649,5.5
Angola,45.7,44,97,2.58,30.35993647,9046,15.8,159,5.38,526.168743,16983266,5.1
Angola,45.3,48,97,1.85,15.88149254,2219,15.4,160,2.79,555.2969419,1644924,4.6
Antigua and Barbuda,76.4,13,0,,0,0,47.7,0,,13566.9541,,13.9
Antigua and Barbuda,76.2,131,0,8.56,2422.999774,0,47,0,5.54,12888.29667,,13.9
Antigua and Barbuda,76.1,133,0,8.58,1991.430372,0,46.4,0,5.33,12224.86416,,13.9
Antigua and Barbuda,75.9,134,0,8.18,2156.229842,0,45.7,0,5.39,12565.44197,,13.8
Antigua and Barbuda,75.7,136,0,7.84,1810.875316,0,45.1,0,5.65,11929.34991,,14.1
Antigua and Barbuda,75.6,138,0,7.84,1983.956937,0,44.4,0,5.63,12126.87614,,14.1
Antigua and Barbuda,75.4,14,0,7.82,149.3587355,0,43.8,0,4.86,1312.46692,,14.2
Antigua and Barbuda,75.2,142,0,8.27,180.7762695,0,43.2,0,4.69,1473.31923,,14.4
Antigua and Barbuda,75,144,0,8.64,257.9665308,0,42.6,0,4.27,14252.29452,,14.5
Antigua and Barbuda,74.8,145,0,8.93,216.3146941,0,42,0,4.34,12724.39377,,14.7
Antigua and Barbuda,74.6,147,0,8.15,1455.608186,0,41.4,0,4.41,11371.93895,,0
Antigua and Barbuda,74.4,149,0,7.28,22.86295206,0,4.8,0,4.21,1352.8374,,0
Antigua and Barbuda,74.2,151,0,7.16,1158.065259,0,4.1,0,4.53,9739.82556,,0
Antigua and Barbuda,74,153,0,7.21,927.4075855,0,39.5,0,4.41,9386.716452,,0
Antigua and Barbuda,73.8,154,0,7.51,163.7676978,0,38.9,0,4.48,9358.154162,,0
Antigua and Barbuda,73.6,156,0,,1127.74347,0,38.2,0,4.13,9875.161736,,0
Argentina,76.3,116,8,,0,0,62.8,9,,13467.1236,43417765,17.3
Argentina,76.2,118,8,7.93,847.3717463,1,62.2,9,4.79,12245.25645,42981515,17.3
Argentina,76,119,8,8.28,1001.796332,0,61.6,10,4.99,12976.63642,42539925,17.3
Argentina,75.9,12,9,8.35,1133.558003,2,61,10,5.2,12969.7712,4296739,17.2
Argentina,75.7,12,9,8.11,1504.329462,3,6.4,10,5.89,12726.9836,41656879,17.1
Argentina,75.5,121,10,8.15,187.610955,17,59.8,11,6.55,1276.265,41223889,16.8
Argentina,75.6,126,10,8.33,1398.042623,3,59.2,11,7.63,8161.36966,479947,16.5
Argentina,75.4,126,10,8.41,1413.73543,0,58.6,11,6.66,8953.359275,4382389,16.3
Argentina,74.8,129,10,8.16,1105.659031,0,58,12,6.49,7193.61764,3997224,16.3
Argentina,75.2,127,11,7.75,961.1774676,0,57.5,12,6.68,5878.76127,3955889,16.1
Argentina,74.9,127,11,7.53,96.16653429,0,56.9,12,6.85,576.883829,39145488,16.3
Argentina,74.7,13,11,7.63,719.3663797,0,56.3,12,6.84,4251.574348,38728696,16.3
Argentina,74.1,137,11,7.62,57.58467352,0,55.7,13,8.22,333.4376,3839379,16.4
Argentina,74.1,138,12,7.81,470.1869145,0,55.1,13,8.31,2579.193168,3788937,16.3
Argentina,74,138,12,7.76,123.0128671,0,54.6,13,9.38,717.694674,3747159,15.6
Argentina,74.1,137,12,7.68,1349.025282,6,54,14,9.21,7669.273916,3757452,15
Armenia,74.8,118,1,,0,33,54.9,1,,369.654776,291695,12.7
Armenia,74.6,12,1,3.91,295.6087143,13,54.1,1,4.48,3994.712355,29622,12.7
Armenia,74.4,123,1,3.79,279.4290812,10,53.3,1,4.55,3843.591213,289359,12.7
